Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Community tags OPI ID,Community Tag category
Luxury living,luxury-living,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cbe6aa566f9f25d60f84,false,false,Mon Dec 22 2025 22:53:26 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Lifestyle & Living
Major highway access,major-highway-access,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0ae82064265d15b4b8cb,false,false,Tue Dec 23 2025 03:22:16 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Transport & Connectivity
Marina access,marina-access,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0995e081aef862f6a471,false,false,Tue Dec 23 2025 03:16:37 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Outdoor & Recreation
Marina living,marina-living,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949caf52811b09dd1fff86e,false,false,Mon Dec 22 2025 22:49:25 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Location & Geography
Master planned,master-planned,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cb7e5684ffe9362d2935,false,false,Mon Dec 22 2025 22:51:42 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Community Type & Feel
Metro access,metro-access,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0ad4f9d90683f5aeafa4,false,false,Tue Dec 23 2025 03:21:56 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Transport & Connectivity
Mid-market,mid-market,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cbf644ed0c4b4d776d2d,false,false,Mon Dec 22 2025 22:53:42 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Lifestyle & Living
Mixed-use,mixed-use,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cba9fb11cafb32612930,false,false,Mon Dec 22 2025 22:52:25 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Community Type & Feel
Modern lifestyle,modern-lifestyle,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cc06d655a635dc2b41e1,false,false,Mon Dec 22 2025 22:53:58 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Lifestyle & Living
Nightlife hub,nightlife-hub,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0a49e221f109d0bbf8b2,false,false,Tue Dec 23 2025 03:19:37 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Amenities & Convenience
Nurseries nearby,nurseries-nearby,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0b62db3d9b4e5ab10d7b,false,false,Tue Dec 23 2025 03:24:18 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Family & Education
Off-plan hotspot,off-plan-hotspot,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0c73fe8537b2f90abe6d,false,false,Tue Dec 23 2025 03:28:51 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Investment & Buyer Appeal
Outdoor lifestyle,outdoor-lifestyle,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a09de8a010e1f938916a0,false,false,Tue Dec 23 2025 03:17:50 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Outdoor & Recreation
Parks & playgrounds,parks-playgrounds,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a097a555793d7896570ed,false,false,Tue Dec 23 2025 03:16:10 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Outdoor & Recreation
