Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Community tags OPI ID,Community Tag category
Tram access,tram-access,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0adeb7f2ddee3b987812,false,false,Tue Dec 23 2025 03:22:06 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:08 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Transport & Connectivity
Ultra-luxury,ultra-luxury,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cbfe3b11e2fca156110f,false,false,Mon Dec 22 2025 22:53:50 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Lifestyle & Living
Urban,urban,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cb499513b023f5060369,false,false,Mon Dec 22 2025 22:50:49 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Location & Geography
Vibrant & lively,vibrant-lively,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cbd5c1e5553f57185a43,false,false,Mon Dec 22 2025 22:53:09 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Community Type & Feel
Walkable community,walkable-community,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cc3ad2c2df5b57d37faa,false,false,Mon Dec 22 2025 22:54:50 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Lifestyle & Living
Water sports nearby,water-sports-nearby,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a09c247a1b56d3deff71c,false,false,Tue Dec 23 2025 03:17:22 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Outdoor & Recreation
Waterfront,waterfront,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cadb889136fe0cee52e3,false,false,Mon Dec 22 2025 22:48:59 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Location & Geography
Well-connected,well-connected,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0b1342947f532e6cd5d7,false,false,Tue Dec 23 2025 03:22:59 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Transport & Connectivity
Wellness focused,wellness-focused,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,6949cc149fc8319323e3893a,false,false,Mon Dec 22 2025 22:54:12 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Lifestyle & Living
Work-live community,work-live-community,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0be546f2e40579c02b57,false,false,Tue Dec 23 2025 03:26:29 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:07 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Work & Business
Young professionals,young-professionals,68c8c183c68d02337a8421b1,68ada6f5bc65af392b69f8d6,694a0c8654464b77b1324a1a,false,false,Tue Dec 23 2025 03:29:10 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 03:31:08 GMT+0000 (Coordinated Universal Time),Tue Dec 23 2025 10:52:47 GMT+0000 (Coordinated Universal Time),,Buyer Profile Tags
